s_agency_code, zip_code, state, city, address, longitude, latitude, arb_code, name
"004", "94583", "CA", "San Ramon", "9885 Alcosta Blvd.", "-121.93419", "37.74367", "60341", "San Ramon - Alcosta Blvd"
"069", "93307", "CA", "Bakersfield", "2000 S. Union Ave", "-118.99990", "35.33156", "15257", "Bakersfield - Municipal Airport"
"033", "95603", "CA", "Auburn", "11645 Atwood Rd.", "-121.09959", "38.93568", "31815", "Auburn - Atwood Rd"
"033", "95648", "CA", "Lincoln", "1445 1st St.", "-121.30199", "38.88559", "31817", "Lincoln - 1445 1st St."
"815", "92239", "CA", "Joshua Tree National Monument", "", "-115.41085", "33.93983", "36151", "Joshua Tree NP - Pinto Wells"
"051", "96122", "CA", "Portola", "420 Gulling Street", "-120.47069", "39.81336", "32826", "Portola - Gulling Street"
"061", "90810", "CA", "Long Beach", "2425 Webster Ave", "-118.22000", "33.80250", "70073", "Long Beach - 2425 Webster"
"004", "95472", "CA", "Sebastopol", "103 Morris Street - Suite T", "-122.81829", "38.40377", "49891", "Sebastopol"
"033", "96145", "CA", "Tahoe City", "221 Fairway Drive", "-120.14883", "39.16602", "31819", "Tahoe City - 221 Fairway Drive"
"004", "94607", "CA", "Oakland", "E 8th Street, Parking Lot, Aisle J", "-122.26338", "37.79362", "60351", "Laney College"
"036", "92020", "CA", "El Cajon", "W. Bradley Ave & Floyd Smith Dr", "-116.96813", "32.81798", "80132", "El Cajon - Floyd Smith Drive"
"036", "92011", "CA", "Carlsbad", "2192 Palomar Airport Rd.", "-117.27238", "33.13089", "80117", "Palomar Airport"
"011", "95018", "CA", "Felton", "7179 Hacienda Way", "-122.08309", "37.06315", "44858", "San Lorenzo Valley Middle School"
"004", "95122", "CA", "San Jose", "1007 Knox Ave", "-121.84989", "37.33820", "43385", "San Jose - Knox Ave"
"061", "92802", "CA", "Anaheim", "812 W. Vermont St", "-117.91876", "33.81931", "30031", "Anaheim - Near Road"
"041", "96080", "CA", "Red Bluff", "1834 Walnut St", "-122.25556", "40.17088", "52903", "Red Bluff - Walnut St"
"035", "93422", "CA", "Atascadero", "5599 Traffic Way", "-120.66617", "35.49453", "40848", "Atascadero Lift Station #5"
"036", "92173", "CA", "San Diego", "795 East San Ysidro Blvd", "-117.02903", "32.54348", "80143", "San Ysidro"
"035", "93444", "CA", "Nipomo", "Oso Flaco Rd, corner of Beigle Rd", "-120.59998", "35.00876", "40854", "Oso Flaco Site"
"013", "95814", "CA", "Sacramento", "100 Bercut Drive", "-121.50380", "38.59332", "34279", "Sacramento - Bercut Drive"
"036", "92128", "CA", "San Diego", "11403 Rancho Carmel Drive", "-117.08218", "32.98544", "80201", "San Diego - Rancho Carmel Drive"
"061", "90806", "CA", "Long Beach", "5895 Long Beach Blvd", "-118.20028", "33.85944", "70032", "Long Beach - Route 710 Near Road"
"061", "91761", "CA", "Ontario", "2330 S. Castle Harbour", "-117.61722", "34.03083", "36036", "Ontario - Route 60 Near Road"
"061", "91764", "CA", "Ontario", "NW Corner of Interstate 10 & Etiwanda Ave", "-117.52671", "34.06780", "36035", "Ontario - Near Road (Etiwanda)"
"004", "94070", "CA", "San Carlos", "620 Airport Drive", "-122.24629", "37.50811", "41539", "San Carlos Airport II"
"004", "95122", "CA", "San Jose", "2500 Cunningham Avenue", "-121.81544", "37.32984", "43381", "Reid Hillview Airport"
"069", "93706", "CA", "Fresno", "2482 Foundry Park Ave", "-119.77743", "36.71088", "10252", "Fresno - Foundry Park"
